按	a
村边	cybm
存查	cyia
寸长	cyih
存车	cyie
村村	cycy
存底	cydi
寸断	cydr
村队	cydv
忖度	cydz
皴法	cyfa
存放	cyfg
寸功	cygs
村规	cygv
存户	cyhu
村居	cyju
寸楷	cykk
寸刻	cyke
存栏	cylj
存了	cyle
皴裂	cylp
寸芒	cymh
村名	cymk
存殁	cymo
村内	cynw
存念	cynm
村女	cynv
存期	cyqi
村人	cyrf
村容	cyrs
村上	cyuh
存水	cyuv
村俗	cysu
寸铁	cytp
寸土	cytu
村屯	cyty
村外	cywd
村务	cywu
存息	cyxi
存下	cyxx
存项	cyxl
寸阴	cyyb
存有	cyyz
存于	cyyu
存照	cyvc
存执	cyvi
村中	cyvs
存贮	cyvu
村组	cyzu
错把	coba
错编	cobm
错车	coie
搓搓	coco
措大	coda
错待	codd
错的	code
蹉跌	codp
错动	cods
错读	codu
错分	coff
错告	cogc
错号	cohc
错会	cohv
撮箕	coji
错将	cojl
错金	cojb
错开	cokk
错流	colq
错路	colu
错落	colo
措美	comw
错谬	comq
错那	cona
痤宁	conk
错配	copw
措勤	coqb
挫锐	corv
挫损	cosy
错填	cotm
错退	cotv
错写	coxp
撮要	coyc
措意	coyi
错杂	coza
措置	covi
错综	cozs
大澳	daao
大别	dabp
大菜	dacd
大仓	dach
打草	dacc
打柴	daid
打禅	daij
大疮	dail
大锤	daiv
大村	dacy
大袋	dadd
达尔	daer
大干	dagj
打更	dagg
打鬼	dagv
大哈	daha
打夯	dahh
大黑	dahw
大很	dahf
大坑	dakg
打烂	dalj
大料	daln
大溜	dalq
大龙	dals
达伦	daly
大毛	damc
大梦	damg
大面	damm
大庙	damn
大谬	damq
大木	damu
大拿	dana
大呢	dane
大能	dang
大鸟	dann
达诺	dano
大女	danv
大钱	daqm
大且	daqp
大秦	daqb
大群	daqy
大热	dare
达日	dari
大肉	darz
大阮	darr
大韶	dauc
达爽	daul
大顺	dauy
大所	daso
打他	data
达特	date
大田	datm
大跳	datn
大团	datr
大屯	daty
大洼	dawa
大新	daxb
大凶	daxs
大汛	daxy
大赞	dazj
大藏	dazh
大则	daze
大政	davg
大抓	davx
大椎	davv
戴奥	ddao
代偿	ddih
带大	ddda
骀荡	dddh
怠惰	dddz
待发	ddfa
待岗	ddgh
带过	ddgo
代还	ddhd
代宏	ddhs
带坏	ddhk
待婚	ddhy
待建	ddjm
带锯	ddju
待决	ddjt
带菌	ddjy
代开	ddkk
待考	ddkc
戴拉	ddla
黛蓝	ddlj
带累	ddlw
呆愣	ddlg
带练	ddlm
戴林	ddlb
黛绿	ddlv
带脉	ddmd
带面	ddmm
袋内	ddnw
带你	ddni
代宁	ddnk
代培	ddpw
待聘	ddpb
带谱	ddpu
带挈	ddqp
戴娆	ddrc
岱山	dduj
带他	ddta
带同	ddts
带团	ddtr
带往	ddwh
带我	ddwo
代县	ddxm
大原	ddyr
岱岳	ddyt
待诏	ddvc
袋中	ddvs
丹奥	djao
单瓣	djbj
单帮	djbh
但比	djbi
单边	djbm
丹鳖	djbp
但不	djbu
淡菜	djcd
单侧	djce
单层	djcg
单产	djij
但从	djcs
丹迪	djdi
单点	djdm
单碟	djdp
但都	djdz
单端	djdr
但对	djdv
丹顿	djdy
丹恩	djen
单发	djfa
丹佛	djfo
但该	djgd
弹弓	djgs
胆管	djgr
但还	djhd
单交	djjn
但就	djjq
但均	djjy
但看	djkj
单靠	djkc
弹坑	djkg
单裤	djku
但亏	djkv
胆乐	djle
丹棱	djlg
淡绿	djlv
但马	djma
但没	djmw
单门	djmf
单面	djmm
氮萘	djnd
丹皮	djpi
蛋品	djpb
单枪	djql
但仍	djrg
丹瑞	djrv
单设	djue
单双	djul
单说	djuo
单丝	djsi
胆酸	djsr
但随	djsv
但所	djso
单态	djtd
单瘫	djtj
单糖	djth
丹桃	djtc
但听	djtk
丹徒	djtu
但我	djwo
淡血	djxt
但应	djyk
单用	djys
但在	djzd
丹泽	djze
但这	djve
丹贞	djvf
单证	djvg
但总	djzs
党报	dhbc
当恩	dhen
党法	dhfa
挡寒	dhhj
当街	dhjp
党刊	dhkj
党课	dhke
当空	dhks
党魁	dhkv
党龄	dhlk
谠论	dhly
当卖	dhmd
当票	dhpn
党旗	dhqi
党群	dhqy
砀山	dhuj
党参	dhuf
当堂	dhth
党团	dhtr
党项	dhxl
党性	dhxk
当雄	dhxs
凼仔	dhzd
当值	dhvi
荡舟	dhvz
导报	dcbc
导标	dcbn
倒彩	dccd
倒仓	dcch
稻城	dcig
导赤	dcii
倒垂	dciv
倒带	dcdd
刀豆	dcdz
刀儿	dcer
蹈海	dchd
刀痕	dchf
岛弧	dchu
倒换	dchr
道经	dcjk
盗掘	dcjt
稻糠	dckh
导坑	dckg
盗魁	dckv
道口	dckz
叨唠	dclc
刀林	dclb
道门	dcmf
稻苗	dcmn
导纳	dcna
导尿	dcnn
道破	dcpo
道情	dcqk
倒嗓	dcsh
倒算	dcsr
倒锁	dcso
倒坍	dctj
道统	dcts
道外	dcwd
悼亡	dcwh
祷文	dcwf
倒卧	dcwo
倒休	dcxq
捣药	dcyc
倒爷	dcye
倒灶	dczc
道砟	dcva
倒找	dcvc
稻种	dcvs
祷祝	dcvu
倒装	dcvl
德安	dean
德拜	debd
德保	debc
得标	debn
德昌	deih
德都	dedu
德宏	dehs
德货	deho
得劲	dejb
得空	deks
德纳	dena
德尼	deni
德钦	deqb
得热	dere
得荣	ders
德森	desf
得数	deuu
德望	dewh
得闲	dexm
德政	devg
德州	devz
得用	dwys
等边	dgbm
灯标	dgbn
邓埠	dgbu
灯彩	dgcd
灯草	dgcc
等差	dgia
登程	dgig
等次	dgci
灯法	dgfa
登封	dgfg
邓公	dggs
镫骨	dggu
灯花	dghx
等角	dgjn
灯节	dgjp
邓肯	dgkf
磴口	dgkz
等量	dgll
瞪羚	dglk
灯捻	dgnm
登攀	dgpj
等偏	dgpm
灯伞	dgsj
等身	dguf
灯头	dgtz
蹬腿	dgtv
等外	dgwd
等温	dgwf
灯影	dgyk
邓州	dgvz
灯座	dgzo
低凹	diao
地波	dibo
地槽	dicc
底册	dice
地秤	diig
滴虫	diis
笛春	diiy
滴翠	dicv
迪恩	dien
迪格	dige
低跟	digf
堤埂	digg
敌害	dihd
地核	dihe
迪红	dihs
底火	diho
低聚	diju
涤卡	dika
地矿	dikl
地蜡	dila
地邻	dilb
迪露	dilu
第卵	dilr
底码	dima
地幔	dimj
迪皿	dimb
地膜	dimo
蒂娜	dina
迪诺	dino
堤坡	dipo
地权	diqr
蒂萨	disa
迪塞	disd
地刷	diux
迪索	diso
敌特	dite
地拖	dito
抵用	diys
敌友	diyz
地照	divc
地政	divg
地轴	divz
骶椎	divv
地租	dizu
点兵	dmbk
电铲	dmij
电的	dmde
点发	dmfa
电感	dmgj
电工	dmgs
电挂	dmgx
电灌	dmgr
电光	dmgl
电耗	dmhc
滇红	dmhs
殿后	dmhz
点卡	dmka
电抗	dmkh
佃客	dmke
电码	dmma
典卖	dmmd
电鳗	dmmj
淀酶	dmmw
电磨	dmmo
电木	dmmu
电纳	dmna
电钮	dmnq
佃农	dmns
颠沛	dmpw
点漂	dmpn
电气	dmqi
垫钱	dmqm
颠茄	dmqp
垫圈	dmqr
点群	dmqy
碘散	dmsj
典沙	dmua
点收	dmuz
电刷	dmux
电文	dmwf
电象	dmxl
电压	dmya
电邀	dmyc
电冶	dmye
电泳	dmys
殿宇	dmyu
电晕	dmyy
电灶	dmzc
典章	dmvh
雕版	dnbj
凋残	dncj
吊打	dnda
调调	dndn
刁恶	dnee
调发	dnfa
调防	dnfg
掉过	dngo
调号	dnhc
刁横	dnhg
凋枯	dnku
吊兰	dnlj
吊链	dnlm
吊盘	dnpj
吊铺	dnpu
吊桥	dnqn
吊球	dnqq
掉色	dnud
吊索	dnso
吊塔	dnta
吊梯	dnti
吊桶	dnts
凋萎	dnww
调运	dnyy
雕凿	dnzc
吊装	dnvl
蝶鞍	dpan
迭部	dpbu
叠彩	dpcd
迭出	dpiu
迭次	dpci
叠翠	dpcv
叠氮	dpdj
蝶精	dpjk
蝶兰	dplj
迭力	dpli
迭连	dplm
迭起	dpqi
蝶山	dpuj
跌水	dpuv
蹀躞	dpxp
蝶形	dpxk
叠印	dpyb
叠韵	dpyy
叠嶂	dpvh
跌坐	dpzo
丁坝	dkba
定本	dkbf
定产	dkij
鼎城	dkig
定喘	dkir
钉锤	dkiv
丁醇	dkiy
顶灯	dkdg
鼎鼎	dkdk
顶盖	dkgd
定更	dkgg
顶骨	dkgu
定海	dkhd
顶好	dkhc
丁缓	dkhr
定结	dkjp
定睛	dkjk
丁克	dkke
定坤	dkky
顶楼	dklz
钉螺	dklo
钉帽	dkmc
定苗	dkmn
丁那	dkna
顶牛	dknq
钉耙	dkpa
定钱	dkqm
钉枪	dkql
顶球	dkqq
丁炔	dkqt
定日	dkri
定说	dkuo
丁酸	dksr
定陶	dktc
顶头	dktz
顶突	dktu
丁烷	dkwj
定销	dkxn
定眩	dkxr
顶叶	dkye
定音	dkyb
定影	dkyk
丁忧	dkyz
定则	dkze
顶账	dkvh
定中	dkvs
定州	dkvz
定准	dkvy
丢官	dqgr
丢却	dqqt
丢置	dqvi
东安	dsan
冬菜	dscd
东侧	dsce
东昌	dsih
东城	dsig
洞达	dsda
东单	dsdj
东道	dsdc
动电	dsdm
东阿	dsee
东港	dsgh
冬耕	dsgg
东沟	dsgz
东光	dsgl
冬烘	dshs
东湖	dshu
动换	dshr
动火	dsho
洞见	dsjm
冻僵	dsjl
东郊	dsjn
东晋	dsjb
动觉	dsjt
洞开	dskk
东莱	dsld
东兰	dslj
冬狼	dslh
东辽	dsln
动毛	dsmc
冬末	dsmo
冬娜	dsna
冻馁	dsnw
冬鸟	dsnn
东宁	dsnk
冬皮	dspi
动迁	dsqm
东墙	dsql
东桥	dsqn
东区	dsqu
冬泉	dsqr
冻肉	dsrz
东旺	dswh
东魏	dsww
动问	dswf
动窝	dswo
冬闲	dsxm
东修	dsxq
冻灾	dszd
动真	dsvf
冬贮	dsvu
洞子	dszi
都安	dzan
豆包	dzbc
豆饼	dzbk
抖颤	dzij
兜抄	dzic
斗车	dzie
痘疮	dzil
逗点	dzdm
兜翻	dzfj
斗拱	dzgs
豆秸	dzjp
陡峻	dzjy
豆绿	dzlv
兜帽	dzmc
斗门	dzmf
豆面	dzmm
兜鍪	dzmz
逗弄	dzns
豆皮	dzpi
豆青	dzqk
豆蓉	dzrs
豆乳	dzru
豆薯	dzuu
豆汤	dzth
豆婷	dztk
豆渣	dzva
窦周	dzvz
杜安	duan
度标	dubn
镀层	ducg
度牒	dudp
肚兜	dudz
杜恩	duen
毒饵	duer
杜菲	dufw
赌风	dufg
杜甘	dugj
督工	dugs
杜汉	duhj
独角	dujn
读经	dujk
读框	dukl
杜隆	duls
髑髅	dulz
嘟噜	dulu
杜马	duma
度命	dumk
毒谋	dumz
镀镍	dunp
独女	dunv
读破	dupo
渡桥	duqn
赌情	duqk
毒殇	duuh
督率	duuk
读锁	duso
渡头	dutz
毒蕈	duxy
独一	duyi
督俞	duyu
独院	duyr
督阵	duvf
断背	drbw
段表	drbn
断潮	dric
断齿	drii
短传	drir
断代	drdd
端方	drfg
断骨	drgu
断喝	drhe
断乎	drhu
断脊	drji
断筋	drjb
断开	drkk
断垄	drls
端木	drmu
端脑	drnc
端钮	drnq
端袢	drpj
断飘	drpn
短枪	drql
断乳	drru
短衫	druj
段锁	drso
锻铁	drtp
短腿	drtv
端绪	drxu
端阳	dryh
端由	dryz
断岳	dryt
断种	drvs
端州	drvz
对本	dvbf
对裁	dvcd
堆存	dvcy
兑端	dvdr
堆垛	dvdz
堆肥	dvfw
对攻	dvgs
对光	dvgl
对过	dvgo
队徽	dvhv
对火	dvho
对开	dvkk
兑款	dvkr
对零	dvlk
对能	dvng
对亲	dvqb
兑取	dvqu
队日	dvri
对酌	dvvo
蹲班	dybj
钝鼻	dybi
趸船	dyir
盾反	dyfj
盾盖	dygd
钝剑	dyjm
顿克	dyke
趸批	dypi
盾片	dypm
敦聘	dypb
盾墙	dyql
敦请	dyqk
钝伤	dyuh
顿首	dyuz
钝痛	dyts
钝响	dyxl
顿消	dyxn
夺杯	dzbw
夺标	dzbn
多播	dzbo
多彩	dzcd
躲藏	dzch
多重	dzis
多次	dzci
夺得	dzde
多端	dzdr
多恩	dzen
剁骨	dzgu
多寡	dzgx
夺冠	dzgr
多核	dzhe
多晶	dzjk
多久	dzjq
多兰	dzlj
多林	dzlb
多龙	dzls
堕马	dzma
多么	dzme
夺目	dzmu
多年	dznm
躲让	dzrh
多日	dzri
剁肉	dzrz
躲闪	dzuj
多少	dzuc
剁碎	dzsv
哆嗦	dzso
多头	dztz
多维	dzww
多涎	dzxm
多谢	dzxp
多心	dzxb
多样	dzyh
多云	dzyy
躲债	dzvd
夺占	dzvj
多种	dzvs
腭凹	eeao
鄂城	eeig
恶齿	eeii
谔谔	eeee
俄而	eeer
饿饭	eefj
阿附	eefu
鹅根	eegf
额骨	eegu
鹅湖	eehu
蛾苓	eelk
扼流	eelq
恶露	eelu
腭面	eemm
额敏	eemb
讹谬	eemq
厄难	eenj
呃逆	eeni
恶念	eenm
萼片	eepm
饿殍	eepn
恶气	eeqi
俄顷	eeqk
恶人	eerf
鹅绒	eers
峨山	eeuj
恶少	eeuc
恶声	eeug
额数	eeuu
恶水	eeuv
讹脱	eeto
讹误	eewu
腭腺	eexm
恶枭	eexn
鹅血	eext
额叶	eeye
噩兆	eevc
恶浊	eevo
噁唑	eezo
恩城	enig
恩宠	enis
恩平	enpk
恩通	ents
恩炀	enyh
恩尤	enyz
二板	erbj
儿宝	erbc
尔曹	ercc
儿茶	eria
二重	eris
二醇	eriy
二道	erdc
耳点	erdm
二冬	erds
耳朵	erdz
尔耳	erer
二反	erfj
耳风	erfg
耳垢	ergz
耳鼓	ergu
耳管	ergr
二黄	erhl
耳甲	erjx
儿康	erkh
而况	erkl
耳廓	erko
儿郎	erlh
二老	erlc
儿马	erma
二毛	ermc
耳门	ermf
二妙	ermn
儿男	ernj
二炮	erpc
耳屏	erpk
贰千	erqm
耳散	ersj
耳生	erug
二水	eruv
耳顺	eruy
二胎	ertd
贰万	erwj
耳蜗	erwo
耳癣	erxr
耳穴	erxt
耳音	eryb
耳针	ervf
二至	ervi
二中	ervs
耳舟	ervz
法奥	faao
法币	fabi
发辫	fabm
发潮	faic
发车	faie
发痴	faii
发端	fadr
法尔	faer
发凡	fafj
发绀	fagj
发箍	fagu
发横	fahg
法剑	fajm
发窘	fajs
发卡	faka
发刊	fakj
法抗	fakh
法雷	falw
法链	falm
法林	falb
法隆	fals
发毛	famc
发面	famm
法能	fang
发蔫	fanm
发排	fapd
法袍	fapc
法权	faqr
发丧	fash
发傻	faua
法伤	fauh
法身	fauf
发套	fatc
法统	fats
阀阅	fayt
法阵	favf
反霸	fjba
梵呗	fjbd
反侧	fjce
反冲	fjis
反带	fjdd
翻斗	fjdz
范恩	fjen
翻耕	fjgg
反顾	fjgu
泛函	fjhj
番红	fjhs
犯浑	fjhy
翻浆	fjjl
番椒	fjjn
犯禁	fjjb
犯境	fjjk
翻开	fjkk
反口	fjkz
反拉	fjla
凡林	fjlb
翻领	fjlk
反流	fjlq
泛论	fjly
反码	fjma
凡命	fjmk
饭囊	fjnh
翻弄	fjns
翻皮	fjpi
泛起	fjqi
繁缛	fjru
翻晒	fjud
犯上	fjuh
泛酸	fjsr
樊西	fjxi
反咬	fjyc
反坐	fjzo
方案	fgan
仿办	fgbj
坊本	fgbf
防病	fgbk
房舱	fgch
方尺	fgii
纺绸	fgiz
放贷	fgdd
放荡	fgdh
防盗	fgdc
方德	fgde
方凳	fgdg
放刁	fgdn
方盾	fgdy
方法	fgfa
房改	fggd
方根	fggf
放工	fggs
放过	fggo
妨害	fghd
防洪	fghs
防护	fghu
放怀	fghk
访旧	fgjq
放开	fgkk
防涝	fglc
芳邻	fglb
房门	fgmf
放牧	fgmu
芳年	fgnm
放牛	fgnq
放炮	fgpc
放枪	fgql
访求	fgqq
芳容	fgrs
放散	fgsj
仿晒	fgud
放哨	fguc
肪酸	fgsr
访谈	fgtj
方糖	fgth
房帖	fgtp
方筒	fgts
方外	fgwd
仿效	fgxn
防锈	fgxq
方药	fgyc
访友	fgyz
防灾	fgzd
仿造	fgzc
芳泽	fgze
放债	fgvd
防战	fgvj
方舟	fgvz
方砖	fgvr
方桌	fgvo
放纵	fgzs
废材	fwcd
肥差	fwid
飞虫	fwis
飞地	fwdi
费恩	fwen
费工	fwgs
腓骨	fwgu
飞狐	fwhu
飞架	fwjx
匪窟	fwku
飞跨	fwkx
肺痨	fwlc
蜚蠊	fwlm
飞流	fwlq
费密	fwmi
飞秒	fwmn
非命	fwmk
飞沫	fwmo
费宁	fwnk
飞奴	fwnu
飞蓬	fwpg
飞散	fwsj
妃色	fwse
飞沙	fwua
菲斯	fwsi
费索	fwso
啡肽	fwtd
非特	fwte
肥西	fwxi
费县	fwxm
飞泻	fwxp
肺芽	fwya
肥源	fwyr
飞云	fwyy
飞灾	fwzd
坟包	ffbc
分兵	ffbk
分餐	ffcj
分册	ffce
分层	ffcg
粉蝶	ffdp
酚丁	ffdk
分度	ffdu
份儿	ffer
分果	ffgo
汾河	ffhe
坟火	ffho
分拣	ffjm
酚咖	ffka
纷乐	ffle
粉岭	fflk
粪瘘	fflz
纷纶	ffly
奋袂	ffmw
粪尿	ffnn
分蘖	ffnp
分片	ffpm
分频	ffpb
粉墙	ffql
分群	ffqy
焚日	ffri
分润	ffry
粉沙	ffua
坟山	ffuj
分说	ffuo
焚天	fftm
汾阳	ffyh
分宜	ffyi
分阴	ffyb
坟茔	ffyk
分院	ffyr
粉状	ffvl
风泵	fgbg
风餐	fgcj
奉达	fgda
凤蝶	fgdp
风斗	fgdz
封二	fger
蜂房	fgfg
封疆	fgjl
蜂胶	fgjn
奉节	fgjp
锋克	fgke
蜂蜡	fgla
枫蓼	fgln
丰隆	fgls
峰峦	fglr
丰南	fgnj
风能	fgng
丰宁	fgnk
蜂农	fgns
风怒	fgnu
风琴	fgqb
缝穷	fgqs
锋锐	fgrv
风色	fgse
风蛇	fgue
丰顺	fguy
风团	fgtr
奉托	fgto
风物	fgwu
奉新	fgxb
风源	fgyr
缝缀	fgvv
风钻	fgzr
封嘴	fgzv
佛灯	fodg
佛迪	fodi
佛冈	fogh
佛骨	fogu
佛号	fohc
佛老	folc
佛坪	fopk
佛器	foqi
佛事	foui
佛手	fouz
佛塔	fota
佛陀	foto
佛牙	foya
否找	fzvc
伏辩	fubm
复波	fubo
浮财	fucd
弗彻	fuie
富川	fuir
斧锤	fuiv
复春	fuiy
浮厝	fuco
浮荡	fudh
腐恶	fuee
弗恩	fuen
复方	fufg
伏根	fugf
扶沟	fugz
辐光	fugl
福海	fuhd
复航	fuhh
抚弘	fuhs
府库	fuku
富矿	fukl
肤廓	fuko
负累	fulw
腹裂	fulp
弗隆	fuls
孵卵	fulr
弗伦	fuly
复洛	fulo
服满	fumj
复萌	fumg
扶苗	fumn
富民	fumb
辅能	fung
俯念	funm
浮漂	fupn
负屈	fuqu
芙瑞	furv
扶弱	furo
伏萨	fusa
扶绥	fusv
夫坦	futj
辐条	futn
付托	futo
覆亡	fuwh
伏汛	fuxy
覆辙	fuve
复诊	fuvf
复转	fuvr
嘎巴	gaba
噶尔	gaer
噶伦	galy
伽师	gaui
嘎子	gazi
赅博	gdbo
盖布	gdbu
盖菜	gdcd
改产	gdij
盖德	gdde
改点	gddm
盖饭	gdfj
盖菲	gdfw
盖衡	gdhg
改刊	gdkj
盖雷	gdlw
盖帘	gdlm
盖曼	gdmj
钙酶	gdmw
盖柠	gdnk
盖诺	gdno
改频	gdpb
该欠	gdqm
改任	gdrf
改色	gdse
盖爽	gdul
概算	gdsr
盖髓	gdsv
盖碗	gdwj
改向	gdxl
改型	gdxk
改选	gdxr
盖亚	gdya
改样	gdyh
改业	gdye
改易	gdyi
盖印	gdyb
改则	gdze
该着	gdvc
改辙	gdve
改种	gdvs
盖州	gdvz
改锥	gdvv
改嘴	gdzv
干安	gjan
干巴	gjba
甘参	gjcj
感迪	gjdi
赶点	gjdm
肝儿	gjer
干肥	gjfw
赶工	gjgs
赶海	gjhd
赶脚	gjjn
干结	gjjp
杆菌	gjjy
干酪	gjlc
肝龙	gjls
甘洛	gjlo
干面	gjmm
甘南	gjnj
感佩	gjpw
干啤	gjpi
干亲	gjqb
干群	gjqy
泔水	gjuv
甘遂	gjsv
肝索	gjso
杆塔	gjta
甘特	gjte
甘为	gjww
甘休	gjxq
擀毡	gjvj
杆状	gjvl
港北	ghbw
港埠	ghbu
钢城	ghig
钢窗	ghil
钢锤	ghiv
钢锭	ghdk
钢盾	ghdy
钢轭	ghee
缸盖	ghgd
刚健	ghjm
钢锯	ghju
钢缆	ghlj
钢梁	ghll
岗楼	ghlz
钢炉	ghlu
岗峦	ghlr
刚毛	ghmc
肛膜	ghmo
纲目	ghmu
港南	ghnj
钢怒	ghnu
缸盆	ghpf
钢坯	ghpi
钢瓶	ghpk
钢钎	ghqm
刚柔	ghrz
钢手	ghuz
岗松	ghss
钢索	ghso
刚体	ghti
钢条	ghtn
缸瓦	ghwa
刚玉	ghyu
钢针	ghvf
钢种	ghvs
钢轴	ghvz
缸砖	ghvr
钢鬃	ghzs
高安	gcan
高爆	gcbc
高倍	gcbw
告便	gcbm
高才	gccd
高淳	gciy
高村	gccy
告贷	gcdd
高顿	gcdy
高恩	gcen
高钙	gcgd
高港	gcgh
高工	gcgs
高光	gcgl
高鹤	gche
膏肓	gchl
高劲	gcjb
高娟	gcjr
告绝	gcjt
告老	gclc
高炉	gclu
高玛	gcma
高慢	gcmj
高门	gcmf
高妙	gcmn
高能	gcng
高炮	gcpc
羔皮	gcpi
高热	gcre
高射	gcue
高爽	gcul
高索	gcso
高塔	gcta
高香	gcxl
高雄	gcxs
膏血	gcxt
高邑	gcyi
稿约	gcyt
高云	gcyy
高燥	gczc
高寨	gcvd
高枕	gcvf
高州	gcvz
隔板	gebj
葛蒡	gebh
葛布	gebu
个虫	geis
格挡	gedh
割点	gedm
铬钢	gegh
膈关	gegr
葛花	gehx
歌会	gehv
割胶	gejn
个旧	gejq
蛤壳	geke
葛坑	gekg
虼螂	gelh
阁僚	geln
戈隆	gels
格宁	genk
隔墙	geql
割切	geqp
戈瑞	gerv
格杀	geua
割伤	geuh
铬酸	gesr
割碎	gesv
圪塔	geta
哥台	getd
哥特	gete
葛藤	getg
铬铁	getp
歌王	gewh
割席	gexi
割线	gexm
各异	geyi
膈俞	geyu
阁员	geyr
虼蚤	gezc
葛正	gevg
给定	gwdk
给假	gwjx
给水	gwuv
给位	gwww
跟包	gfbc
根被	gfbw
根菜	gfcd
根插	gfia
根儿	gfer
根河	gfhe
跟脚	gfjn
根究	gfjq
根剌	gfla
根瘤	gflq
根毛	gfmc
根霉	gfmw
根宁	gfnk
跟拍	gfpd
跟平	gfpk
根鞘	gfqn
跟梢	gfuc
根托	gfto
根围	gfww
根系	gfxi
根须	gfxu
根压	gfya
根株	gfvu
根罪	gfzv
羹匙	ggii
耕畜	ggiu
庚醇	ggiy
更次	ggci
更定	ggdk
更动	ggds
耕读	ggdu
更番	ggfj
耿耿	gggg
耿马	ggma
耕牛	ggnq
更其	ggqi
庚日	ggri
更生	ggug
更舒	gguu
庚酸	ggsr
庚帖	ggtp
庚酮	ggts
更香	ggxl
赓续	ggxu
更张	ggvh
耕者	ggve
公办	gsbj
攻博	gsbo
公差	gsia
公产	gsij
工潮	gsic
供词	gsci
攻错	gsco
工党	gsdh
宫灯	gsdg
宫调	gsdn
公爹	gsdp
拱顶	gsdk
宫斗	gsdz
公吨	gsdy
公法	gsfa
共犯	gsfj
躬耕	gsgg
攻讦	gsjp
公开	gskk
工矿	gskl
宫乐	gsle
攻擂	gslw
巩留	gslq
公论	gsly
巩膜	gsmo
共谋	gsmz
宫宁	gsnk
工农	gsns
弓弩	gsnu
公派	gspd
公判	gspj
工棚	gspg
攻强	gsql
躬亲	gsqb
宫阙	gsqt
拱让	gsrh
供热	gsre
工日	gsri
贡山	gsuj
公诉	gssu
公摊	gstj
工特	gste
工头	gstz
公推	gstv
拱券	gsxr
公演	gsyj
弓腰	gsyc
供者	gsve
共轴	gsvz
公转	gsvr
共总	gszs
苟安	gzan
沟槽	gzcc
钩沉	gzif
钩虫	gzis
购得	gzde
够格	gzge
勾绘	gzhv
枸橘	gzju
购卡	gzka
勾留	gzlq
诟骂	gzma
钩毛	gzmc
勾描	gzmn
勾女	gznv
狗肾	gzuf
钩网	gzwh
够味	gzww
构型	gzxk
沟洫	gzxu
勾乙	gzyi
狗鱼	gzyu
钩爪	gzvc
彀中	gzvs
骨癌	guai
固安	guan
固邦	gubh
古币	gubi
古博	gubo
孤残	gucj
谷草	gucc
估测	guce
估产	guij
固肠	guih
雇车	guie
骨尘	guif
固齿	guii
鼓出	guiu
古纯	guiy
孤村	gucy
骨雕	gudn
骨堆	gudv
骨朵	gudz
骨鲠	gugg
谷红	guhs
骨骺	guhz
骨将	gujl
骨康	gukh
谷口	gukz
骨蜡	gula
古来	guld
谷类	gulw
骨料	guln
古蔺	gulb
骨瘤	gulq
谷米	gumi
顾眄	gumm
谷苗	gumn
牯牛	gunq
骨片	gupm
姑婆	gupo
孤穹	guqs
孤弱	guro
固沙	guua
鼓舌	guue
孤孀	guul
古斯	gusi
古塔	guta
固特	gute
古藤	gutg
固位	guww
故我	guwo
顾绣	guxq
古音	guyb
故宅	guvd
古冢	guvs
古拙	guvo
挂碍	gxai
挂包	gxbc
挂鞭	gxbm
挂表	gxbn
挂车	gxie
卦辞	gxci
呱嗒	gxda
挂带	gxdd
挂灯	gxdg
瓜蒂	gxdi
挂斗	gxdz
刮宫	gxgs
呱呱	gxgx
挂冠	gxgr
寡合	gxhe
挂红	gxhs
寡欢	gxhr
挂火	gxho
挂累	gxlw
挂零	gxlk
寡母	gxmu
瓜农	gxns
瓜棚	gxpg
瓜片	gxpm
挂屏	gxpk
寡情	gxqk
瓜瓤	gxrh
胍生	gxug
刮叔	gxuu
挂锁	gxso
挂毯	gxtj
挂体	gxti
挂图	gxtu
瓜蔓	gxwj
寡味	gxww
寡闻	gxwf
挂鞋	gxxp
瓜秧	gxyh
刮油	gxyz
寡欲	gxyu
挂钟	gxvs
拐棒	gkbh
乖舛	gkir
怪道	gkdc
乖蹇	gkjm
拐角	gkjn
怪杰	gkjp
怪客	gkke
怪论	gkly
乖谬	gkmq
拐子	gkzi
观潮	gric
关冲	gris
灌丛	grcs
冠带	grdd
关东	grds
管段	grdr
观风	grfg
冠沟	grgz
关顾	grgu
棺椁	grgo
管核	grhe
官后	grhz
灌浆	grjl
管井	grjk
棺柩	grjq
管窥	grkv
惯量	grll
关岭	grlk
冠冕	grmm
灌南	grnj
官气	grqi
官桥	grqn
冠沙	grua
关山	gruj
关说	gruo
官塘	grth
馆陶	grtc
惯贼	grzw
惯纵	grzs
管足	grzu
官佐	grzo
广安	glan
光笔	glbi
光灿	glcj
光差	glia
光程	glig
光宠	glis
广德	glde
广丰	glfg
广柑	glgj
广河	glhe
广开	glkk
光刻	glke
光疗	glln
光面	glmm
光敏	glmb
广南	glnj
广宁	glnk
光钮	glnq
光强	glql
光球	glqq
广饶	glrc
光润	glry
广厦	glua
广生	glug
光是	glui
光束	gluu
广水	gluv
光顺	gluy
光瞳	glts
光秃	gltu
广物	glwu
光楔	glxp
光心	glxb
光绪	glxu
光压	glya
光耀	glyc
逛游	glyz
广宇	glyu
广枣	glzc
光闸	glva
广证	glvg
光锥	glvv
广宗	glzs
龟背	gvbw
贵池	gvii
贵穿	gvir
贵德	gvde
桂东	gvds
闺房	gvfg
